,CNT,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST28Q09,ST28Q10,ST28Q11,ST25Q01,ST25Q02,ST25Q03,ST25Q04,ST25Q05,ST26Q01,ST26Q02,ST26Q03,ST26Q04,ST26Q05,ST26Q06,ST26Q07,ST27Q01,ST27Q02,ST27Q03,ST27Q04
68038,Principal,Agree(A),Strongly Agree(SA),Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),Strongly Disagree(SD),None,Agree(A),Agree(A),A few times a year,Several times a week,Several times a month,A few times a year,A few times a year,Several times a week,Agree(A),Strongly Disagree(SD),able to see what happens outside the school,None,Disagree(D),Disagree(D),Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),None
68039,Principal,Disagree(D),Agree(A),Strongly Agree(SA),Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),None,Agree(A),Agree(A),About once a month,A few times a year,Never or almost never,Never or almost never,Several times a week,Several times a week,Agree(A),Agree(A),they expose the students to some of the things they learn in class,they break the monotony hence students take them seriously,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),its an expensive programme
68040,Principal,Disagree(D),Agree(A),Agree(A),Agree(A),Disagree(D),Agree(A),Agree(A),Agree(A),motivate them to work hard,Disagree(D),Disagree(D),About once a month,Never or almost never,A few times a year,Never or almost never,A few times a year,Never or almost never,Agree(A),Agree(A),None,None,Agree(A),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),None
68041,Principal,Agree(A),Un Decided(UN),Agree(A),Agree(A),Agree(A),Agree(A),Disagree(D),Un Decided(UN),None,Agree(A),Agree(A),Several times a month,A few times a year,About once a month,A few times a year,Several times a week,Several times a week,Disagree(D),Disagree(D),None,they get encouraged and boost their confidence and self esteem,Un Decided(UN),Agree(A),Agree(A),Agree(A),Un Decided(UN),None
68042,Principal,Disagree(D),Disagree(D),Disagree(D),Disagree(D),Un Decided(UN),Un Decided(UN),Un Decided(UN),Un Decided(UN),enhances competition among student,Agree(A),Agree(A),About once a month,A few times a year,About once a month,Never or almost never,Several times a month,Several times a month,Un Decided(UN),Disagree(D),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),None
68043,Principal,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Disagree(D),Strongly Agree(SA),Agree(A),Agree(A),Un Decided(UN),None,Agree(A),Un Decided(UN),A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Several times a week,Agree(A),Un Decided(UN),help the student to learn more about their county,to add on the students experience,Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),it helps the student understand themselves better and hence self actualisation
68044,Principal,Un Decided(UN),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),its the most effective method to motivate students,Un Decided(UN),Agree(A),Several times a month,Never or almost never,A few times a year,A few times a year,About once a month,Several times a day,Agree(A),Un Decided(UN),have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Strongly Agree(SA),they give real life expereince of how they personally passed thus students gets inspired
68045,Principal,Strongly Disagree(SD),Strongly Agree(SA),Disagree(D),Disagree(D),Agree(A),Agree(A),Agree(A),Strongly Disagree(SD),they encourage them to work harder to get incentives,Agree(A),Agree(A),About once a month,Never or almost never,A few times a year,Never or almost never,A few times a year,Several times a month,Agree(A),Strongly Disagree(SD),students are exposed to practical aspects of varoius subjects which can be applied to their learning,they are able to change the attitude of the students positively,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Strongly Agree(SA),they give real life expereince of how they personally passed thus students gets inspired
68046,Principal,Disagree(D),Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),None,Agree(A),Agree(A),About once a month,About once a month,About once a month,About once a month,About once a month,Several times a day,Agree(A),Agree(A),they expose the students to some of the things they learn in class,they break the monotony hence students take them seriously,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),its an expensive programme
68047,Principal,Strongly Disagree(SD),Agree(A),Agree(A),Disagree(D),Agree(A),Un Decided(UN),Disagree(D),Un Decided(UN),they enhance competation hence better perfomance,Agree(A),Disagree(D),Never or almost never,About once a month,Several times a month,Never or almost never,Never or almost never,Several times a week,Agree(A),Agree(A),they make them work harder to secure slots,inorder to help them build self confidence,Agree(A),Agree(A),Disagree(D),Agree(A),Strongly Agree(SA),they encourage students hence are viable in academic improvement
68048,Teacher,Agree(A),Un Decided(UN),Disagree(D),Un Decided(UN),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),helps in our school by having enough revision material and enough chemicals for practical work,Agree(A),Un Decided(UN),Several times a week,Several times a week,A few times a year,Never or almost never,About once a month,Several times a week,Strongly Agree(SA),Disagree(D),encourage weak studerk harder so as to obtain better grades,helps in giving positive attitude in what they study,Strongly Agree(SA),Strongly Agree(SA),Agree(A),Agree(A),Agree(A),have postive influence on how learners have the interest on the area of specialization
68049,Teacher,Disagree(D),Disagree(D),Disagree(D),Disagree(D),Un Decided(UN),Un Decided(UN),Un Decided(UN),Un Decided(UN),enhances competition among student,Agree(A),Agree(A),About once a month,About once a month,A few times a year,Never or almost never,About once a month,Several times a week,Un Decided(UN),Disagree(D),None,None,Agree(A),Agree(A),Agree(A),Agree(A),Agree(A),None
68050,Teacher,Strongly Agree(SA),Strongly Agree(SA),Strongly Agree(SA),Disagree(D),Strongly Agree(SA),Agree(A),Agree(A),Un Decided(UN),None,Agree(A),Un Decided(UN),A few times a year,Several times a week,A few times a year,Never or almost never,Never or almost never,Several times a month,Agree(A),Un Decided(UN),help the student to learn more about their county,to add on the students experience,Strongly Agree(SA),Agree(A),Agree(A),Strongly Agree(SA),Agree(A),it helps the student understand themselves better and hence self actualisation
68051,Teacher,Un Decided(UN),Agree(A),Disagree(D),Disagree(D),Strongly Agree(SA),Agree(A),Strongly Agree(SA),Agree(A),its the most effective method to motivate students,Un Decided(UN),Agree(A),About once a month,Several times a month,Several times a month,A few times a year,Several times a month,Several times a week,Agree(A),Un Decided(UN),have direct contact with physical features e.g. geography,they motivate students to work hard for better,Agree(A),Agree(A),Agree(A),Strongly Agree(SA),Strongly Agree(SA),they give real life expereince of how they personally passed thus students gets inspired
